 ,song,link,id
20,No Lie,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1264516300&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/user-668129638"" title=""Medelpad"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Medelpad</a> · <a href=""https://soundcloud.com/user-668129638/sean-paul-dua-lipa-no-lie-hardstyle-bootleg"" title=""Sean Paul &amp; Dua Lipa - No lie [Hardstyle Bootleg slowed nineteenluvv]"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Sean Paul &amp; Dua Lipa - No lie [Hardstyle Bootleg slowed nineteenluvv]</a></div>",1264516300
21,I like me better,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/339827377&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/indie-city"" title=""AhMed Adel"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">AhMed Adel</a> · <a href=""https://soundcloud.com/indie-city/lauv-i-like-me-better"" title=""Lauv - I Like Me Better"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Lauv - I Like Me Better</a></div>",339827377
22,Girls like you,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/457604721&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/jonahbaker"" title=""JonahBaker"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">JonahBaker</a> · <a href=""https://soundcloud.com/jonahbaker/girls-like-you-maroon-5-ft-cardi-b-acoustic-cover"" title=""Girls Like You - Maroon 5 ft. Cardi B (Acoustic Cover)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Girls Like You - Maroon 5 ft. Cardi B (Acoustic Cover)</a></div>",457604721
23,Stereo hearts,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/17086720&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/decaydancerecords"" title=""Decaydance Records"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Decaydance Records</a> · <a href=""https://soundcloud.com/decaydancerecords/gym-class-heroes-stereo-hearts"" title=""Gym Class Heroes - Stereo Hearts Ft. Adam Levine"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Gym Class Heroes - Stereo Hearts Ft. Adam Levine</a></div>",17086720
24,Steal my girl,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/285986435&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/omar-shaikh-173808067"" title=""Omar Shaikh"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Omar Shaikh</a> · <a href=""https://soundcloud.com/omar-shaikh-173808067/steal-my-girl-one-direction"" title=""steal my girl-one direction"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">steal my girl-one direction</a></div>",285986435
25,Let me love you,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/307070754&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/r3hab"" title=""R3HAB"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">R3HAB</a> · <a href=""https://soundcloud.com/r3hab/dj-snake-justin-bieber-let-me-love-you-r3hab-remix"" title=""DJ Snake &amp; Justin Bieber - Let Me Love You (R3hab Remix)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">DJ Snake &amp; Justin Bieber - Let Me Love You (R3hab Remix)</a></div>",307070754
26,Senorita,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/641570523&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/joey-dougherty-442864431"" title=""Joey Doc"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Joey Doc</a> · <a href=""https://soundcloud.com/joey-dougherty-442864431/shawn-mendes-camila-cabello-senorita-joey-doc-remix"" title=""Shawn Mendes, Camila Cabello - Señorita (Joey Doc remix)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Shawn Mendes, Camila Cabello - Señorita (Joey Doc remix)</a></div>",641570523
27,Strawberries and Cigarettes,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/506663721&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/bren-bd"" title=""blissful"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">blissful</a> · <a href=""https://soundcloud.com/bren-bd/strawberries-and-cigarettes"" title=""strawberries and cigarettes"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">strawberries and cigarettes</a></div>",506663721
28,Angel baby,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1247290486&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/alkatera"" title=""Fajrin Alkatera"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Fajrin Alkatera</a> · <a href=""https://soundcloud.com/alkatera/angel-baby"" title=""ANGEL BABY"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">ANGEL BABY</a></div>",1247290486
29,I Wanna be yours,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/366184949&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/user-870885163"" title=""Silas"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Silas</a> · <a href=""https://soundcloud.com/user-870885163/i-wanna-be-yours"" title=""I Wanna Be Yours"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">I Wanna Be Yours</a></div>",366184949
30,Memories,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/694584772&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/ajaystevens"" title=""Ajay Stevens"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Ajay Stevens</a> · <a href=""https://soundcloud.com/ajaystevens/maroon-5-adam-levine-memories-cover-by-ajay-stephens"" title=""Memories"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Memories</a></div>",694584772
31,Love me like you do,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/197580978&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/andiecase"" title=""Andie Case"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Andie Case</a> · <a href=""https://soundcloud.com/andiecase/ellie-goulding-love-me-like-you-do-andie-case-cover"" title=""Ellie Goulding - Love Me Like You Do"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Ellie Goulding - Love Me Like You Do</a></div>",197580978
32,Dance Monkey,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/846639493&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/tamijones-music"" title=""Tami Jones"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Tami Jones</a> · <a href=""https://soundcloud.com/tamijones-music/dance-monkey"" title=""Dance Monkey"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Dance Monkey</a></div>",846639493
33,Despacito,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/337832878&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/dkdavid1"" title=""Dk David"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Dk David</a> · <a href=""https://soundcloud.com/dkdavid1/luis-fonsi-despacito-ft-daddy-yankee-original-audio-from-youtube"" title=""Luis Fonsi - Despacito ft. Daddy Yankee - Original Audio from YouTube"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Luis Fonsi - Despacito ft. Daddy Yankee - Original Audio from YouTube</a></div>",337832878
34,Dusk Till Dawn,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/342403487&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/thomasmgreen"" title=""Tom Green"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Tom Green</a> · <a href=""https://soundcloud.com/thomasmgreen/zayn-ft-sia-dusk-till-dawn"" title=""Zayn ft. Sia - Dusk Till Dawn"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Zayn ft. Sia - Dusk Till Dawn</a></div>",342403487
35,Alone,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/295928473&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/user-377869648"" title=""Feel The Beat"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Feel The Beat</a> · <a href=""https://soundcloud.com/user-377869648/alone-alan-walker-feel-the-beat-edit"" title=""Alone - Alan Walker (Feel The Beat Edit)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Alone - Alan Walker (Feel The Beat Edit)</a></div>",295928473
36,Unstoppable,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/243075532&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/misterluka"" title=""misterluka"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">misterluka</a> · <a href=""https://soundcloud.com/misterluka/sia-unstoppable-male-cover"" title=""Sia - Unstoppable (Male Version)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Sia - Unstoppable (Male Version)</a></div>",243075532
37,Middle of the night,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1221526105&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/user-506165455"" title=""Oyeyeah"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Oyeyeah</a> · <a href=""https://soundcloud.com/user-506165455/elley-duhe-middle-of-the-night"" title=""Elley Duhe - Middle Of The Night"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Elley Duhe - Middle Of The Night</a></div>",1221526105
38,Heat Waves,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1152564250&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/highcloud-music"" title=""Highcloud"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Highcloud</a> · <a href=""https://soundcloud.com/highcloud-music/heat-waves"" title=""Heat Waves"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Heat Waves</a></div>",1152564250
39,At my worst,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/964580464&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/alkatera"" title=""Fajrin Alkatera"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Fajrin Alkatera</a> · <a href=""https://soundcloud.com/alkatera/at-my-worstmstr"" title=""AT MY WORST"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">AT MY WORST</a></div>",964580464
40,Left and right,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1474970650&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/fairgamesongs"" title=""FAIR GAME"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">FAIR GAME</a> · <a href=""https://soundcloud.com/fairgamesongs/charlie-puth-jungkook-left-and-right-fair-game-remix"" title=""Charlie Puth &amp; Jungkook - Left And Right (FAIR GAME Remix)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Charlie Puth &amp; Jungkook - Left And Right (FAIR GAME Remix)</a></div>",1474970650
41,Real Love,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/68172701&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/massari"" title=""Massari"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Massari</a> · <a href=""https://soundcloud.com/massari/massari-real-love"" title=""Real Love"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Real Love</a></div>",68172701
42,Rockabye,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/289829014&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/dj-isi"" title=""Dj IsI"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Dj IsI</a> · <a href=""https://soundcloud.com/dj-isi/clean-bandit-rockabye-ft-sean-paul-anne-marie-djisi-rework"" title=""Clean Bandit - Rockabye Ft. Sean Paul &amp; Anne - Marie  ( Dj.IsI Rework )"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Clean Bandit - Rockabye Ft. Sean Paul &amp; Anne - Marie  ( Dj.IsI Rework )</a></div>",289829014
43,Perfect,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/310640631&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/user-79781816"" title=""Joshua Perez"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Joshua Perez</a> · <a href=""https://soundcloud.com/user-79781816/ed-sheeran-perfect-official-audio"" title=""Ed Sheeran - Perfect (Joshua Perez Cover)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Ed Sheeran - Perfect (Joshua Perez Cover)</a></div>",310640631
44,3d,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1628157015&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/user-545527839"" title=""𝚃𝚊𝚖𝚖𝚒:)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">𝚃𝚊𝚖𝚖𝚒:)</a> · <a href=""https://soundcloud.com/user-545527839/jung-kook-3d-feat-jack-harlow"" title=""Jung Kook -3D (feat. Jack Harlow)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Jung Kook -3D (feat. Jack Harlow)</a></div>",1628157015
45,Not your barbie girl,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/369900452&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/avamax"" title=""AVA MAX"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">AVA MAX</a> · <a href=""https://soundcloud.com/avamax/notyourbarbiegirl"" title=""Not Your Barbie Girl"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Not Your Barbie Girl</a></div>",369900452
46,Greedy,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1633464579&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/vyacheslav-karpenko-940576121"" title=""В&#x27;ячеслав Карпенко"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">В&#x27;ячеслав Карпенко</a> · <a href=""https://soundcloud.com/vyacheslav-karpenko-940576121/tate-mcrae-greedy"" title=""Tate McRae - Greedy"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Tate McRae - Greedy</a></div>",1633464579
47,Hips don't lie,"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/298470320&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/cj-borika"" title=""Cj Borika"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Cj Borika</a> · <a href=""https://soundcloud.com/cj-borika/cj-borika-shakira-hips-dont-lie-original-mix"" title=""Cj Borika &amp; Shakira- Hips Don&#x27;t Lie (original Mix)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Cj Borika &amp; Shakira- Hips Don&#x27;t Lie (original Mix)</a></div>",298470320
